index, voltage
0,36041
1,35980
2,35922
3,36349
4,36324
5,36331
6,36324
7,36323
8,35983
9,35994
10,36003
11,35962
12,36303
13,36338
14,36338
15,36330
16,36338
17,36045
18,35720
19,35998
20,35585
21,36292
22,36231
23,36346
24,36655
25,36477
26,36305
27,35966
28,35998
29,36005
30,36347
31,36338
32,36317
33,36310
34,36945
35,36322
36,35991
37,36017
38,35674
39,36339
40,35973
41,36312
42,36321
43,36329
44,36339
45,35991
46,36006
47,35975
48,36335
49,36333
50,36337
51,36376
52,36318
53,36319
54,35994
55,35908
56,36006
57,36333
58,36120
59,36337
60,36347
61,36304
62,36319
63,35988
64,35715
65,35891
66,36353
67,36057
68,36304
69,36332
70,37116
71,36320
72,35920
73,35540
74,35992
75,36338
76,36324
77,36318
78,36303
79,36319
80,36326
81,35910
82,36017
83,35995
84,36252
85,36334
86,36227
87,36318
88,36465
89,36289
90,35886
91,36566
92,35879
93,36328
94,36339
95,36969
96,36089
97,36221
98,36308
99,35994
100,36017
101,35915
102,36353
103,36335
104,36290
105,36288
106,36326
107,36072
